...1,index,sid,dyad,user_id,other_id,participant_condition,other_condition,question_content,measure,relationship
472,472,mk:real_meeting_experiment_prolific:2,p3p5,mk:real_meeting_experiment_prolific:2p5,mk:real_meeting_experiment_prolific:2p3,S,U,liked,6,-0.402196248372395
476,476,mk:real_meeting_experiment_prolific:2,p3p6,mk:real_meeting_experiment_prolific:2p3,mk:real_meeting_experiment_prolific:2p6,S,S,liked,5,-0.0556877983940964
480,480,mk:real_meeting_experiment_prolific:2,p3p6,mk:real_meeting_experiment_prolific:2p6,mk:real_meeting_experiment_prolific:2p3,S,S,liked,7,0.252926296657987
484,484,mk:real_meeting_experiment_prolific:2,p3p7,mk:real_meeting_experiment_prolific:2p3,mk:real_meeting_experiment_prolific:2p7,S,U,liked,6,-0.234685262044271
488,488,mk:real_meeting_experiment_prolific:2,p3p7,mk:real_meeting_experiment_prolific:2p7,mk:real_meeting_experiment_prolific:2p3,U,S,liked,6,0.293441772460939
492,492,mk:real_meeting_experiment_prolific:2,p3p8,mk:real_meeting_experiment_prolific:2p3,mk:real_meeting_experiment_prolific:2p8,U,U,liked,6,-0.317693074544271
496,496,mk:real_meeting_experiment_prolific:2,p3p8,mk:real_meeting_experiment_prolific:2p8,mk:real_meeting_experiment_prolific:2p3,U,U,liked,7,0.208480834960938
500,500,mk:real_meeting_experiment_prolific:2,p4p5,mk:real_meeting_experiment_prolific:2p4,mk:real_meeting_experiment_prolific:2p5,S,U,liked,5,-0.719874064127604
504,504,mk:real_meeting_experiment_prolific:2,p4p5,mk:real_meeting_experiment_prolific:2p5,mk:real_meeting_experiment_prolific:2p4,U,S,liked,6,-0.0267079671223946
508,508,mk:real_meeting_experiment_prolific:2,p4p6,mk:real_meeting_experiment_prolific:2p4,mk:real_meeting_experiment_prolific:2p6,U,U,liked,3,-1.8471917046441
512,512,mk:real_meeting_experiment_prolific:2,p4p6,mk:real_meeting_experiment_prolific:2p6,mk:real_meeting_experiment_prolific:2p4,U,U,liked,7,0.628414577907987
516,516,mk:real_meeting_experiment_prolific:2,p4p7,mk:real_meeting_experiment_prolific:2p4,mk:real_meeting_experiment_prolific:2p7,U,S,liked,7,0.973810831705729
520,520,mk:real_meeting_experiment_prolific:2,p4p7,mk:real_meeting_experiment_prolific:2p7,mk:real_meeting_experiment_prolific:2p4,S,U,liked,5,-0.331069946289061
524,524,mk:real_meeting_experiment_prolific:2,p4p8,mk:real_meeting_experiment_prolific:2p4,mk:real_meeting_experiment_prolific:2p8,S,S,liked,7,0.890803019205729
528,528,mk:real_meeting_experiment_prolific:2,p4p8,mk:real_meeting_experiment_prolific:2p8,mk:real_meeting_experiment_prolific:2p4,S,S,liked,6,-0.416030883789062
532,532,mk:real_meeting_experiment_prolific:4,p1p5,mk:real_meeting_experiment_prolific:4p1,mk:real_meeting_experiment_prolific:4p5,U,U,liked,7,0.719819071336019
536,536,mk:real_meeting_experiment_prolific:4,p1p5,mk:real_meeting_experiment_prolific:4p5,mk:real_meeting_experiment_prolific:4p1,U,U,liked,7,0.237188136308946
540,540,mk:real_meeting_experiment_prolific:4,p1p6,mk:real_meeting_experiment_prolific:4p1,mk:real_meeting_experiment_prolific:4p6,S,U,liked,6,NA
544,544,mk:real_meeting_experiment_prolific:4,p1p7,mk:real_meeting_experiment_prolific:4p1,mk:real_meeting_experiment_prolific:4p7,S,S,liked,7,0.196782662895091
