,sid,user_id,other_id,participant_condition,other_condition,question_content,Unnamed: 0,measure
149,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p5,mk:prolific_participant_real_2:2p4,U,S,liked,80.0,-0.761831677149211
150,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p5,mk:prolific_participant_real_2:2p4,U,S,other_liked,80.0,-1.31555445232089
151,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p5,mk:prolific_participant_real_2:2p4,U,S,video_conf_quality,80.0,-0.129697360689679
152,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p6,mk:prolific_participant_real_2:2p1,U,S,conversation_quality,52.0,-2.81187485891675
153,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p6,mk:prolific_participant_real_2:2p1,U,S,liked,52.0,-2.81295701814076
154,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p6,mk:prolific_participant_real_2:2p1,U,S,other_liked,52.0,-2.50840665802123
155,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p6,mk:prolific_participant_real_2:2p1,U,S,video_conf_quality,52.0,0.0758822910369386
156,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p6,mk:prolific_participant_real_2:2p2,S,U,conversation_quality,64.0,0.582121538737466
157,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p6,mk:prolific_participant_real_2:2p2,S,U,liked,64.0,0.60879003055512
158,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p6,mk:prolific_participant_real_2:2p2,S,U,other_liked,64.0,-0.100534934846181
159,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p6,mk:prolific_participant_real_2:2p2,S,U,video_conf_quality,64.0,0.273258383311921
160,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p6,mk:prolific_participant_real_2:2p3,S,S,conversation_quality,74.0,0.852822364322726
161,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p6,mk:prolific_participant_real_2:2p3,S,S,liked,74.0,0.86377867441329
162,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p6,mk:prolific_participant_real_2:2p3,S,S,other_liked,74.0,0.921058503408281
163,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p6,mk:prolific_participant_real_2:2p3,S,S,video_conf_quality,74.0,-0.629209079439678
164,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p6,mk:prolific_participant_real_2:2p4,U,U,conversation_quality,82.0,-0.0778010080731075
165,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p6,mk:prolific_participant_real_2:2p4,U,U,liked,82.0,-0.261343395899211
166,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p6,mk:prolific_participant_real_2:2p4,U,U,other_liked,82.0,-0.0095648689875531
167,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p6,mk:prolific_participant_real_2:2p4,U,U,video_conf_quality,82.0,-0.740455824231346
168,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p7,mk:prolific_participant_real_2:2p1,S,S,conversation_quality,54.0,0.479262836395749
169,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p7,mk:prolific_participant_real_2:2p1,S,S,liked,54.0,0.505931328213406
170,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p7,mk:prolific_participant_real_2:2p1,S,S,other_liked,54.0,0.65760896697877
171,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p7,mk:prolific_participant_real_2:2p1,S,S,video_conf_quality,54.0,-0.146611198546394
172,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p7,mk:prolific_participant_real_2:2p2,U,U,conversation_quality,66.0,-0.126740765950034
173,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p7,mk:prolific_participant_real_2:2p2,U,U,liked,66.0,-0.0723216230907129
174,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p7,mk:prolific_participant_real_2:2p2,U,U,other_liked,66.0,0.0654806901538194
175,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p7,mk:prolific_participant_real_2:2p2,U,U,video_conf_quality,66.0,0.0507648937285881
176,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p7,mk:prolific_participant_real_2:2p3,U,S,conversation_quality,76.0,0.143960059635226
177,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p7,mk:prolific_participant_real_2:2p3,U,S,liked,76.0,0.182667020767457
178,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p7,mk:prolific_participant_real_2:2p3,U,S,other_liked,76.0,0.0870741284082808
179,mk:prolific_participant_real_2:2,mk:prolific_participant_real_2:2p7,mk:prolific_participant_real_2:2p3,U,S,video_conf_quality,76.0,0.148297430976989
