"dyad_std","question_content","participant_condition","other_condition","rel1","rel2"
"mk:real_meeting_experiment_prolific:2p3_mk:real_meeting_experiment_prolific:2p6","liked","S","S",5,7
"mk:real_meeting_experiment_prolific:2p3_mk:real_meeting_experiment_prolific:2p6","other_liked","S","S",5,7
"mk:real_meeting_experiment_prolific:2p3_mk:real_meeting_experiment_prolific:2p6","other_liked","S","S",5,7
"mk:real_meeting_experiment_prolific:2p3_mk:real_meeting_experiment_prolific:2p6","video_conf_quality","S","S",5,7
"mk:real_meeting_experiment_prolific:2p3_mk:real_meeting_experiment_prolific:2p6","video_conf_quality","S","S",5,7
"mk:real_meeting_experiment_prolific:2p3_mk:real_meeting_experiment_prolific:2p8","conversation_quality","U","U",6,7
"mk:real_meeting_experiment_prolific:2p3_mk:real_meeting_experiment_prolific:2p8","conversation_quality","U","U",6,7
"mk:real_meeting_experiment_prolific:2p3_mk:real_meeting_experiment_prolific:2p8","liked","U","U",6,7
"mk:real_meeting_experiment_prolific:2p3_mk:real_meeting_experiment_prolific:2p8","liked","U","U",6,7
"mk:real_meeting_experiment_prolific:2p3_mk:real_meeting_experiment_prolific:2p8","other_liked","U","U",5,5
"mk:real_meeting_experiment_prolific:2p3_mk:real_meeting_experiment_prolific:2p8","other_liked","U","U",5,5
"mk:real_meeting_experiment_prolific:2p3_mk:real_meeting_experiment_prolific:2p8","video_conf_quality","U","U",6,7
"mk:real_meeting_experiment_prolific:2p3_mk:real_meeting_experiment_prolific:2p8","video_conf_quality","U","U",6,7
"mk:real_meeting_experiment_prolific:2p4_mk:real_meeting_experiment_prolific:2p6","conversation_quality","U","U",3,7
"mk:real_meeting_experiment_prolific:2p4_mk:real_meeting_experiment_prolific:2p6","conversation_quality","U","U",3,7
"mk:real_meeting_experiment_prolific:2p4_mk:real_meeting_experiment_prolific:2p6","liked","U","U",3,7
"mk:real_meeting_experiment_prolific:2p4_mk:real_meeting_experiment_prolific:2p6","liked","U","U",3,7
"mk:real_meeting_experiment_prolific:2p4_mk:real_meeting_experiment_prolific:2p6","other_liked","U","U",5,7
"mk:real_meeting_experiment_prolific:2p4_mk:real_meeting_experiment_prolific:2p6","other_liked","U","U",5,7
"mk:real_meeting_experiment_prolific:2p4_mk:real_meeting_experiment_prolific:2p6","video_conf_quality","U","U",5,7
"mk:real_meeting_experiment_prolific:2p4_mk:real_meeting_experiment_prolific:2p6","video_conf_quality","U","U",5,7
"mk:real_meeting_experiment_prolific:2p4_mk:real_meeting_experiment_prolific:2p8","conversation_quality","S","S",7,7
"mk:real_meeting_experiment_prolific:2p4_mk:real_meeting_experiment_prolific:2p8","conversation_quality","S","S",7,7
"mk:real_meeting_experiment_prolific:2p4_mk:real_meeting_experiment_prolific:2p8","liked","S","S",7,6
"mk:real_meeting_experiment_prolific:2p4_mk:real_meeting_experiment_prolific:2p8","liked","S","S",7,6
"mk:real_meeting_experiment_prolific:2p4_mk:real_meeting_experiment_prolific:2p8","other_liked","S","S",7,6
"mk:real_meeting_experiment_prolific:2p4_mk:real_meeting_experiment_prolific:2p8","other_liked","S","S",7,6
"mk:real_meeting_experiment_prolific:2p4_mk:real_meeting_experiment_prolific:2p8","video_conf_quality","S","S",6,7
"mk:real_meeting_experiment_prolific:2p4_mk:real_meeting_experiment_prolific:2p8","video_conf_quality","S","S",6,7
"mk:real_meeting_experiment_prolific:4p1_mk:real_meeting_experiment_prolific:4p5","conversation_quality","U","U",7,7
"mk:real_meeting_experiment_prolific:4p1_mk:real_meeting_experiment_prolific:4p5","conversation_quality","U","U",7,7
"mk:real_meeting_experiment_prolific:4p1_mk:real_meeting_experiment_prolific:4p5","liked","U","U",7,7
"mk:real_meeting_experiment_prolific:4p1_mk:real_meeting_experiment_prolific:4p5","liked","U","U",7,7
"mk:real_meeting_experiment_prolific:4p1_mk:real_meeting_experiment_prolific:4p5","other_liked","U","U",6,7
"mk:real_meeting_experiment_prolific:4p1_mk:real_meeting_experiment_prolific:4p5","other_liked","U","U",6,7
"mk:real_meeting_experiment_prolific:4p1_mk:real_meeting_experiment_prolific:4p5","video_conf_quality","U","U",7,4
"mk:real_meeting_experiment_prolific:4p1_mk:real_meeting_experiment_prolific:4p5","video_conf_quality","U","U",7,4
"mk:real_meeting_experiment_prolific:4p1_mk:real_meeting_experiment_prolific:4p7","conversation_quality","S","S",7,5
"mk:real_meeting_experiment_prolific:4p1_mk:real_meeting_experiment_prolific:4p7","conversation_quality","S","S",7,5
"mk:real_meeting_experiment_prolific:4p1_mk:real_meeting_experiment_prolific:4p7","liked","S","S",7,6
"mk:real_meeting_experiment_prolific:4p1_mk:real_meeting_experiment_prolific:4p7","liked","S","S",7,6
"mk:real_meeting_experiment_prolific:4p1_mk:real_meeting_experiment_prolific:4p7","other_liked","S","S",7,6
"mk:real_meeting_experiment_prolific:4p1_mk:real_meeting_experiment_prolific:4p7","other_liked","S","S",7,6
"mk:real_meeting_experiment_prolific:4p1_mk:real_meeting_experiment_prolific:4p7","video_conf_quality","S","S",7,5
